Date,Close,Volume,Diff,Volatility
20150421,1.0479,1.0048,0.0162,0.0176
20150422,1.0582,1.0775,0.0118,0.0256
20150423,1.0491,0.7892,-0.0129,0.0204
20150424,1.0183,1.6655,-0.0269,0.038
20150427,1.0067,1.4327,-0.0106,0.0255
20150428,0.9853,1.3583,-0.0173,0.0295
20150429,0.9983,0.9414,0.0132,0.0219
20150430,1.0156,1.5741,0.0181,0.0282
20150504,1.0076,0.7108,-0.005,0.0185
20150506,0.9799,1.1313,-0.0201,0.0252
20150507,0.9853,0.8727,0.0059,0.0154
20150508,0.9623,0.8101,-0.0205,0.0234
20150511,0.9607,0.8275,-0.0176,0.0176
20150512,0.957,0.9206,-0.0104,0.0216
20150513,0.9581,0.8585,-0.0119,0.017
20150514,0.9626,0.7415,-0.0007,0.0112
20150515,0.9523,0.7822,-0.0214,0.0258
20150518,0.9476,0.8465,-0.0112,0.0195
20150519,0.96,0.7654,0.0129,0.0363
20150520,0.9798,0.9139,0.0126,0.0215
20150521,0.9697,0.6465,-0.0139,0.0204
20150522,0.9682,0.7367,-0.0022,0.0133
20150526,0.9767,0.8988,-0.0029,0.0242
20150527,0.9425,1.5386,-0.0338,0.039
20150528,0.9391,1.3346,-0.0061,0.0152
20150529,0.9378,1.5323,-0.0098,0.0182
20150601,0.9266,0.9611,-0.0069,0.01
20150602,0.9354,0.7716,0.0023,0.0115
20150603,0.914,1.0401,-0.023,0.0391
20150604,0.9597,1.7078,0.0167,0.0274
20150605,0.9624,0.8682,0.0121,0.0264
20150608,0.9431,0.8933,-0.023,0.0253
20150609,0.9203,1.2067,-0.0138,0.0323
20150610,0.9064,1.0981,-0.0156,0.025
20150611,0.9034,1.344,-0.0048,0.0166
20150612,0.9182,1.0326,-0.0008,0.018
20150615,0.9134,0.713,0.012,0.0151
